coffee,,decaf,
X,Y,X,Y
2.359065702,0.546269617,1.101939095,0.5
2.039530306,3.01226622,1.250929883,3.971770482
3.140930556,3.011428015,2.509942448,3.833826028
3.293962685,5.203092375,2.346402832,6.984635419
5.969061286,5.06407023,3.447803082,6.983797214
5.965019945,7.118867826,3.601104633,9.038475067
8.168089867,6.980204911,4.387819098,9.03787635
8.321391419,9.034882764,4.695230469,12.73627254
9.265448776,9.034164303,5.167259147,12.73591331
9.265448776,11.91100068,5.318674739,15.7494967
11.14790561,11.90944402,6.105389204,15.74889799
11.14601965,12.86834956,6.260307292,16.9816568
15.07959197,12.86535597,7.047291179,16.84407158
15.07797544,13.68727501,7.045674642,17.66599062
15.8646899,13.6866763,8.304417785,17.66503267
16.02014684,14.6454621,8.304417785,19.71995001
17.12154709,14.64462389,9.087090908,19.71923155
17.12154709,16.83652774,9.085204948,20.67813709
19.32003682,16.83473159,12.86116495,20.81224975
19.32003682,17.93074338,13.32753575,23.68860716
26.24096872,17.92535493,16.47439361,23.68621229
26.23935219,18.74727397,16.47331592,24.23415832
27.81278112,18.74607653,18.04674485,24.23296088
27.81035631,19.97895509,18.04485889,25.19186643
31.90073268,20.24981477,19.14625914,25.19102822
32.05430365,22.16750612,19.14356491,26.56089329
37.09008449,21.75271481,21.18902252,26.55933662
37.08739027,23.12257987,21.18632829,27.92920169
41.80794647,22.98200106,22.13038565,27.92848322
42.27620323,24.89945292,22.28638143,28.61329601
44.16431795,24.898016,24.96121061,28.61126037
44.00455025,26.1310143,24.95743869,30.52907146
46.0505467,25.85548462,26.05883894,30.52823326
46.0481219,27.08836318,26.21160164,32.85688413
47.14952215,27.08752498,27.47034479,32.85592618
46.99002387,28.18353677,27.46845883,33.81483172
55.01451141,28.17742986,28.41251618,33.81411326
54.8558214,28.86248213,28.41116907,34.49904579
60.99165538,29.13178515,29.04054064,34.49856682
61.2985279,33.10415435,29.19518931,35.86831214
68.37922751,32.96177939,30.61127534,35.86723445
68.21999865,33.92080468,30.60992823,36.55216698
69.4787418,33.91984673,32.18335716,36.55096955
69.47712526,34.74176577,32.1814712,37.50987509
72.15195444,34.73973013,33.28287145,37.50903689
72.15006848,35.69863567,33.12040952,40.11190025
78.2864413,35.69396568,36.2675368,39.97251888
78.28347765,37.20081725,36.26565084,40.93142442
82.21731939,37.06083716,38.31110845,40.92986776
82.21543343,38.0197427,38.30949191,41.7517868
90.39699444,38.15050255,44.13117895,41.74735629
90.23776559,39.10952784,44.12902357,42.84324834
92.91286419,38.97050569,45.38776671,42.84229039
92.91043938,40.20338425,45.38561133,43.93818244
99.0468122,40.19871425,47.43106893,43.93662578
99.04492625,41.1576198,47.42891355,45.03251783
112.1043864,41.14768109,56.8692177,45.16231973
112.1025004,42.10658664,56.86787059,45.84725226
131.4559456,41.95487169,57.96927084,45.84641406
131.6108637,43.1876305,57.96792372,46.53134659
152.6950808,43.03459837,62.21591241,46.66510002
153.0073418,44.26723744,62.21402645,47.62400557
160.7171435,44.26137001,63.94479827,47.62268839
161.0299433,45.22003607,64.09756098,49.95133926
165.4355443,45.21668326,66.77239015,49.94930362
165.748883,45.9013763,67.08465113,51.18194269
171.8849864,46.03369281,75.10913867,51.17583577
172.0396351,47.40343813,75.10725271,52.13474132
180,47.12120282,82.03060942,51.9924861
,,82.18579693,53.08825841
,,90.05294157,53.08227123
,,90.05132504,53.90419027
,,99.02040877,53.62339188
,,99.17559628,54.71916419
,,99.80496786,54.71868522
,,99.48597131,56.91070881
,,104.9929726,56.90651779
,,105.3060418,57.72819734
,,141.0231479,57.56402907
,,140.8633802,58.79702737
,,142.9088378,58.7954707
,,142.9066824,59.89136276
,,147.7843121,59.88765071
,,147.9376137,61.94232856
,,162.5707721,61.79420591
,,162.7256902,63.02696473
,,173.7399621,62.88159618
,,173.7380762,63.84050173
,,180,63.8354725
