Lecture_number,Date,Topic,Readings
1,2025-09-02,"Introductions and rationle, potentials and promise of SR",NA
2,2025-09-04,Finding the evidence - Effective use of Ovid MEDLINE & EndNote,NA
3,2025-09-09,"The systematic reviews road map, framing the question & protocol writing",NA
4,2025-09-11,Data extraction & assessing the quality of the literature,NA
5,2025-09-16,Investigating and dealing with publication bias and other reporting biases,NA
6,2025-09-18,Summarizing the evidence & interpreting the findings,NA
7,2025-09-23,Reporting & appraisal of systematic reviews,NA
8,2025-09-25,Effect measures,NA
9,2025-09-30,Combining results with meta-analysis - Part 1,NA
10,2025-10-02,Combining results with meta-analysis - Part 2,NA
11,2025-10-07,The problem with p values,NA
12,2025-10-09,Bayesian meta-analysis,NA
NA,2025-10-14,Reading week,NA
NA,2025-10-16,Reading week,NA
13,2025-10-21,Exploring heterogeneity,NA
14,2025-10-23,Dealing with missing data and other biases,NA
15,2025-10-28,Individual patient level meta-analysis,NA
16,2025-10-30,Network meta-analysis,NA
17,2025-11-04,Dose response meta-analysis,NA
18,2025-11-06,Systematic reviews of observational studies,NA
19,2025-11-11,Systematic reviews of diagnostic studies,NA
20,2025-11-13,Systematic reviews of prediction studies,NA
21,2025-11-18,Meta-analysis of single RCTs,NA
22,2025-11-20,Meta-analysis of genetic studies,NA
23,2025-11-25,Systematic review of the Cochrane Database,NA
24,2025-11-27,SR/MA for decision-making,NA
25,2025-12-02,Protocol resentations - 4 minute rapid fire,NA
26,2025-12-04,Quiz & wrap up,NA
